"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
584,13,19,19,25,37,44,50,52,57,62,64,70,72,77,79,81,86,94,96,98,99,99,104,109,111,117,119,131,139,144,144,152,153,161,161
585,5,7,13,20,22,24,33,34,41,43,45,50,52,53,54,60,61,65,66,68,70,71,72,73,73,74,74,74,75,87,87,88,89,92,92
586,2,3,3,3,4,5,6,7,7,8,10,17,19,19,25,37,39,40,42,42,44,45,47,48,49,51,56,69,71,76,76,78,79,81,82
587,0,0,7,9,11,13,21,23,24,26,28,30,32,34,34,40,41,43,48,50,52,52,59,61,61,61,62,62,63,64,64,64,65,66,66
588,0,0,5,5,5,5,5,5,6,6,6,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,2,4,9,11,13,15,16,24,26,28,29,29,30,32,34,33,34,36,37,37,38,47,52,53,55,60,62,66,67,69,69,76,88,100,102
591,0,1,2,3,4,5,5,9,9,9,9,10,11,12,12,12,12,12,12,13,14,21,21,21,21,21,21,21,21,21,21,22,22,22,24
592,1,8,8,9,9,10,11,12,13,13,14,15,28,29,36,43,44,45,53,53,53,53,53,53,53,53,53,53,53,53,53,55,60,62,62
593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,5,10,12,14,14,15,15,15,15
594,2,9,11,13,14,15,16,28,30,32,34,35,35,35,36,37,38,40,41,42,43,44,44,46,46,46,46,54,55,56,56,57,57,58,58
595,0,1,2,3,4,5,10,15,17,18,19,21,22,23,23,23,23,23,23,24,26,32,34,34,36,37,38,38,39,40,40,41,47,50,50
596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
597,2,7,7,8,8,8,8,8,9,10,11,11,11,11,11,11,11,12,12,12,14,15,15,15,16,17,18,18,18,18,19,20,20,20,20
598,1,1,8,8,9,9,15,15,16,16,22,23,24,26,31,32,34,36,41,43,43,45,47,48,49,51,51,51,52,53,55,56,57,63,65
599,2,4,4,9,11,13,22,31,38,39,41,43,45,47,54,56,58,60,61,61,62,63,64,71,72,73,75,76,77,77,77,79,87,89,94
600,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
601,2,4,12,14,16,24,26,39,41,46,48,50,51,51,53,57,58,60,62,63,64,64,64,64,64,64,65,69,70,71,71,72,81,82,83
