"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.78418272662222,0.475821841540773,0.768499072089776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,3.17267055917926,3.92483799594729,4.66822829119835,3.92699216933509,8.80370780991919,8.14876983358032,5.33600947707377,3.87634497090611,2.37181562814672,1.89539928469357,1.16815103776965,1.85413629563213,1.11813627646053,0.668930424003633,1.11929489585032,3.75901570338254,3.67045920053305,3.53493746977986,5.7612215109926,6.57907886985606,3.91014586228388,3.59399745278427,2.36060066459212,2.09836873707157,3.376131490781,0.391573868889629,0.458529031605356,0.218704189572764,0.356833151408195,0,0.720118518570612,1.90953238218356,2.12903594597961,4.96063820444019,3.29659781694632
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,3.17267055917926,2.165347596407,1.89656981734471,2.21124616568181,5.83622283042114,5.26856382406751,3.10209649796346,2.44091101434427,1.77617673259274,1.58389767408907,2.09766742693957,3.32249238365165,2.00661760977682,1.11606536853236,1.4820058651737,1.1106235835328,1.58846425939348,1.52944247319914,4.32419059140651,3.21402181813635,1.73110353290195,3.25741482808979,1.51774451618237,1.50241376349366,0.391573868889629,0.387537024880457,0.453752687526133,0.461756318896798,3.08208236395083,1.84706142144778,3.3467554705101,3.6011628280302,3.30649038616323,9.92228734960369,7.87306350962039
NA,NA,NA,NA,NA,NA,2.45635273763228,6.2071584528584,5.62858957525661,3.11073371406468,2.82721616278757,1.99783286649606,2.295256758427,1.18008047870471,2.61229505970957,1.3324367059044,1.1021777493304,0.356788014393067,0,0,0,2.15042315260293,4.75578708081046,3.0445940958329,2.83076970893225,1.8671964500285,1.61473490299436,3.00356639354572,0.391573868889629,0.458529031605356,3.33335056723766,7.41221659116359,4.18144186445121,1.84446012626096,0,0,3.43054739262559,5.75847923441914
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
